Label,Japanese,English,Notes
NAME_7_30,なし,None,
NAME_7_70,FE16G,FE16G,
NAME_7_B0,FE32G,FE32G,
NAME_7_F0,FE64G,FE64G,
NAME_7_130,FE128G,FE128G,
NAME_7_170,FE256G,FE256G,
NAME_7_1B0,スティン16G,Stin16G,
NAME_7_1F0,スティン32G,Stin32G,
NAME_7_230,スティン64G,Stin64G,
NAME_7_270,スティン128G,Stin128G,
NAME_7_2B0,スティン256G,Stin256G,
NAME_7_2F0,ルカ゛ー16G,Ruger16G,
NAME_7_330,ルカ゛ー32G,Ruger32G,
NAME_7_370,ルカ゛ー64G,Ruger64G,
NAME_7_3B0,ルカ゛ー128G,Ruger128G,
NAME_7_3F0,ルカ゛ー256G,Ruger256G,
NAME_7_430,タヒロ16G,Tahiro16G,
NAME_7_470,タヒロ32G,Tahiro32G,
NAME_7_4B0,タヒロ64G,Tahiro64G,
NAME_7_4F0,タヒロ128G,Tahiro128G,
NAME_7_530,タヒロ256G,Tahiro256G,
NAME_7_570,JAー8G,JA-8G,
NAME_7_5B0,JAーp8G,JA-p8G,
NAME_7_5F0,JAーs8G,JA-s8G,
NAME_7_630,JAーm8G,JA-m8G,
NAME_7_670,JAー32G,JA-32G,
NAME_7_6B0,JAーp32G,JA-p32G,
NAME_7_6F0,JAーs32G,JA-s32G,
NAME_7_730,JAーm32G,JA-m32G,
NAME_7_770,JAー128G,JA-128G,
NAME_7_7B0,JAーp128G,JA-p128G,
NAME_7_7F0,JAーs128G,JA-s128G,
NAME_7_830,JAーm128G,JA-m128G,
NAME_7_870,セーフ゛ヒート,Save heat,
NAME_7_8B0,アンフ゛レラ,Umbrella,
NAME_7_8F0,アースコンセント,Ground plug,
NAME_7_930,フルカウル,Full cowl,
NAME_7_970,ホハ゛ニンク゛,Hoverning,
NAME_7_9B0,シェルター,Shelter,
NAME_7_9F0,ク゛ロウニンク゛,Growning,
NAME_7_A30,タ゛ークロック,Dark rock,
