Label,Japanese,English,Notes,
STR_1_C4,「オレのこえか゛\,"If you can hear me, please anwser! 
I, I have to get out of here! 
To escape, I'll need your help. 
I'll be waiting for you, in Bugsite... 
Please! Please hurry!! ",,
STR_1_D3, きこえたら,,,Legend:
STR_1_E3, へんし゛を してくれ,,,Rough (new) translations are in blue.
STR_1_F8, オ、オレを\,,,Old translations are in purple until checked/corrected.
STR_1_105, はやく ここから,,,Translator notes are marked with a yellow triangle
STR_1_118, た゛してくれ!\,,,[name] represents the player's name.
STR_1_127, たのむ!!,,,
STR_1_137, ここから た゛っしゅつ,,,Spreadsheet Notes:
STR_1_149, するためには、,,,Lines with a character portrait are max 13 chars.
STR_1_15B, おまえの たすけか゛\,,,Lines without a character portrait are max 18 chars.
STR_1_16D, ひつようなんた゛,,,
STR_1_180, オレは\,,,Old lines may avoid use of certain lowercase letters
STR_1_18B, ハ゛ク゛サイトて゛,,,due to patch limitations. Please fix these occurences
STR_1_19F, おまえを\,,,whenever possible.
STR_1_1AB, まってるそ゛・・・,,,
STR_1_1BF, はやく!はやく、\,,,"In the translations, use a line break (ctrl+enter)"
STR_1_1CF, きてくれ!!」,,,wherever you want to force a new line. 
,,,,
STR_2_42,     なのはなタウン\,"  Nanohana town 
    - home -",,Translation Notes:
STR_2_55,      し゛たく,,,"In the manga, the Mobile is more like a wrist-mounted PDA (i.e. like a P.E.T. from Mega Man Battle Network), so we're going to keep ""Mobile"" instead of translating it into American English ""Cellphone"" or ""Phone""."
,,,,
STR_3_D8,ははおや\,"Mom: 
It's morning, wake up!",,
STR_3_E3,「あさよ、,,,
STR_3_F2, おきなさい!」,,,
STR_3_118,ははおや\,"  Mom:
Honestly, how long were you planning on sleeping?
That reminds me, I had a bit of a nightmare last night.
Did you have a weird dream, too?
You promised to play with Yui today; she'll be waiting.",,
STR_3_123,「まったく、,,,"ダイブ is to be translated as ""Dive"", as it is a fictional term for entering Bugsite."
STR_3_133, いつまて゛\,,,
STR_3_140, ねてるつもりなの?,,,
STR_3_154, そういえは゛なんか\,,,
STR_3_165, うなされてたわね。,,,
STR_3_179, ヘンな ゆめて゛も\,,,
STR_3_18A, みたの?,,,
STR_3_199, きょうは きんし゛ょの,,,
STR_3_1AB, ユイちゃんと,,,
STR_3_1BC, あそふ゛ やくそくを\,,,
STR_3_1CE, してたんし゛ゃないの?,,,
STR_3_1E4, まってるわよ\,,,
STR_3_1F2, きっと」,,,
STR_3_217,ははおや\,"Mom:
Huh... just after that dream, a package arrived from your father...
I put it in the second floor study.
After you go see what it is, it'd be a good thing if you played with Yui.",This set of lines is used if you leave your home without talking to your mother first.,
STR_3_222,「そうそう,,,
STR_3_247, おとうさんから、\,,,
STR_3_257, たくはいひ゛んか゛,,,
STR_3_26B, とと゛いているわよ\,,,
STR_3_280, 2かいの しょさいに\,,,
STR_3_292, おいてあるわ,,,
STR_3_2A3, ユイちゃんと あそんて゛,,,
STR_3_2B6, からて゛いいから,,,
STR_3_2C9, あとて゛\,,,
STR_3_2D5, あけてみてね」,,,
STR_3_2FD,「そうそう,"Huh... just after that dream, a package arrived from your father...
I put it in the second floor study.
After you go see what it is, it'd be a good thing if you played with Yui.








",,
STR_3_30C, おとうさんから、\,,,
STR_3_31C, たくはいひ゛んか゛,,,
STR_3_330, とと゛いているわよ\,,,
STR_3_345, 2かいの しょさいに\,,,
STR_3_357, おいてあるわ,,,
STR_3_368, ユイちゃんと あそんて゛,,,
STR_3_37B, からて゛いいから,,,
STR_3_38E, あとて゛\,,,
STR_3_39A, あけてみてね」,,,
,,,,
STR_4_61,カキ゛か゛ かかっている。,It's locked.,(Nanohana Town during prologue),
STR_4_8E,カキ゛か゛ かかっている。,It's locked.,,
STR_4_BB,こうもんか゛しまっている。,The gate is closed.,,
,,,,
STR_5_74,たくはいひ゛んには\,There's a bunch of equipment inside the package.,,
STR_5_84,いろいろな きかいか゛,,,
STR_5_99,はいっている。,,,
STR_5_AA,モハ゛イルと\,Got the Mobile and the Visor!,,
STR_5_B7,ハ゛イサ゛ーをてにいれた!,,,
STR_5_D5,チッフ゜「JA-8G」を,"Got the ""JA-8G"" chip!",,
STR_5_E7,てにいれた!,,,
STR_5_118,ハ゛ク゛センサーを\,Got the Bug Sensor!,,
STR_5_128,てにいれた!,,,
STR_5_154,おとうさんのホ゛イスメッセーシ゛を\,Dad's voicemail played back.,,
STR_5_16C,さいせいした。,,,
STR_5_192,ちちおや\,"Dad:
Can you hear me?
Yeah. It's your dad.
Consider all this kit as a present from me.
I figured, since you're getting to that age, you'd start getting interested in Bugsite.
To start, you'll need to enter your name in the Mobile.",,
STR_5_19D,「きこえるか?,,,
STR_5_1AE, わたした゛。\,,,
STR_5_1BC, おとうさんた゛。,,,
STR_5_1CF, この たくはいひ゛んに\,,,
STR_5_1E2, はいってたものは,,,
STR_5_1F5, おとうさんからの\,,,
STR_5_205, フ゜レセ゛ントた゛。,,,
STR_5_21A, おまえも\,,,
STR_5_226, そろそろ,,,
